re_id;re_cu_id;re_date;re_amount;re_modeofpayment;re_checknumber;re_bank
1;818;28/08/2005 3:19;46437;L728RSPBRC3VYHM;88266;EP15-7548-2088-5062
2;559;5/02/2002 12:15;15211;9ZUX2AQOADY261S;14108;QL50-6773-8382-9632
3;1002;23/03/2009 17:27;25100;TMPNNNJSQ6IW2KX;41248;TZ29-4759-7951-5450
4;443;7/10/2007 4:42;42705;5JOIGCDBGEXEUM5;20340;SN36-5853-9284-3101
5;274;27/11/2004 7:28;38724;KG2CRZDMG27VRTL;92539;EI13-1342-2504-8208
6;468;8/03/2002 10:41;44706;F1WMC96G9E69P4X;897;CP86-7523-8751-2284
7;470;14/02/2010 8:24;17539;1TCMHL56622E5HK;38050;CD66-0448-3017-2754
8;31;29/03/2008 22:19;9775;S7ZTPIDA9L2DT3W;64999;FY37-2050-4494-1086
9;996;4/10/2002 0:12;10385;42UXHZ8TVQG97SB;26126;TM57-4605-0682-3937
10;315;15/03/2002 18:13;19560;NULL;64857;XV95-2916-7644-8008
11;849;21/12/2009 7:24;31135;UIGI54EJF1CWIRD;68470;OL38-2981-9786-6131
12;33;25/11/2006 18:14;16269;6QA2NM6TY5XZ233;75471;WW20-7058-8033-5790
13;527;23/07/2006 1:01;9692;ABJANE60OBIFMCA;96058;IP78-7429-6665-0774
14;688;25/04/2010 4:43;22212;CD3GH847CNJ06EG;80250;HH07-3403-1752-5160
15;82;5/11/2002 21:12;39699;YVL783FRKAEB4R6;28323;IW13-8849-5003-6024
16;454;11/05/2005 22:46;49896;UTMPZNZ16BX0U5T;68068;DP59-2655-4294-8484
17;989;15/08/2003 8:52;30016;U5HQQ3W9XCV7US3;29311;PK67-9780-5612-6455
18;763;4/04/2002 12:03;32423;GW5DRRDAWK0W5FW;55503;WJ07-8976-9352-8152
19;382;21/05/2010 19:24;47958;G4HY9FVQXDRNRR6;40616;SM86-1820-9570-5941
20;958;9/08/2002 3:40;22710;8CJYZGH2R6U62Z4;11714;CK62-0772-2218-1037
21;716;3/02/2008 11:48;40492;FGRQB4B00EGE0QJ;44111;OR07-1132-1060-2310
22;1005;12/04/2007 6:22;41593;DMNSVYF0ME73LPO;92882;LU62-1638-3757-5588
23;795;20/06/2010 20:14;5511;888B0G231JXLZ22;26889;LZ11-7887-6918-3520
24;458;19/04/2002 20:04;19123;NQSGBCMG1Q3XX7F;71437;YI83-3578-2497-5003
25;222;9/04/2006 1:45;28623;QJ6RI74XKJRC1U0;64135;ME77-8119-8156-3844
26;719;22/01/2002 22:35;32493;B5GUW8LWMRA9C46;31416;EV45-0384-6641-0574
27;488;27/10/2007 7:28;25327;4LUGWBJFLVVSKAE;24320;OX33-1521-8433-3227
28;879;29/05/2008 18:15;16597;QJLSRKEIX95QXVK;16879;HN14-5723-9869-0269
29;736;6/09/2006 18:33;39827;DY8GZJN0L091CTB;83123;RG72-7172-6723-2835
30;680;2/03/2007 6:55;18970;D3JTJE1J6CJN5TI;70694;YV95-4520-8962-3297
31;219;1/10/2004 1:14;33737;AGEM2Y76WL6QBD5;16605;MB21-5083-3974-8643
32;897;24/05/2004 1:46;26470;XTCTCRWZWO9N00U;40015;NH87-0586-8247-6428
33;839;27/08/2009 20:20;12648;IIQWEP9FWCWX7B8;14132;KQ49-8945-3097-4474
34;645;8/11/2008 12:05;39347;6EPCGOEIKFPEPJ5;49515;ZT47-6122-5006-3772
35;220;15/05/2010 12:08;13967;QD7SM9P8KXXZUYR;51723;KB52-0410-3948-9262
36;482;5/09/2007 5:39;33714;FFHMAICU47BZZVQ;3071;EI79-1506-2066-9575
37;720;8/11/2010 9:14;40617;706T3G6WOGSIQEO;41173;CG11-7445-9727-7268
38;101;17/08/2004 4:14;48670;O4Z92IL81DNFXQ8;97761;DK18-2396-6100-5724
39;1026;29/09/2004 20:46;23822;7LRURXHY9LXUQT3;14845;QB22-9222-7898-0285
40;906;27/07/2005 4:22;48220;JQAVVGAOFYSPTRY;10144;KW35-6915-4753-8642
41;477;22/03/2004 15:42;735;82A5NUTRM0ZGLRI;31630;TL93-2644-8121-9722
42;326;9/09/2003 20:07;23277;AXV7FDTQA2ET4S5;44369;CR20-4326-2964-3204
43;469;30/05/2002 7:59;30880;MZMNJX2PWJ8VHT3;6661;QD56-1188-0867-6267
44;810;9/09/2004 23:55;20615;GKEVVRIU9JUKF0M;49980;GS61-7054-8945-6413
45;765;20/09/2009 7:46;19261;VHUL5UODU6AW5Y9;76756;JV20-6570-6044-9473
46;295;12/10/2004 8:24;9481;ZQDKD9MVHRDZ2I9;NULL;JL28-2307-4089-4151
47;664;15/12/2009 1:05;11214;XDZZZHILV10PGMP;39673;VK18-1579-9193-9274
48;287;1/03/2010 9:36;46149;9DLOM1HMVY4DGPA;15652;SG20-4343-2550-0010
49;223;12/07/2008 23:06;41175;WEYRYAHH7SOB8XF;54473;HV49-5549-6301-8756
50;69;5/02/2010 10:38;1609;22POXKAVWC40D54;84830;GQ76-3881-3444-8169
51;694;14/11/2004 17:10;21766;ROS1NXCZW3HUD5E;44165;BL51-9522-4501-7242
