us_id;us_code;us_name;us_password;us_class
1;K5O5MP;Gabrielle Best;5K42DL3Y;F9BI91L250
2;P2SKMD;Hannah Waller;94ZEV1E5;OXKNTSVT6Z
3;SJXSOS;Arlene Drake;G1QCA04;N3RYVFX7PR
4;0LTUD0;Bradley Horn;854TFCHI6QEXOH;V8K2399PP1
5;I3XJFT;Erik Wolf;4XXAR3ZEBBL;6332JFRBXH
6;21KJYV;Elisabeth Zimmerman;A1S94X9C;WL8QA654YA
7;PWJ32S;Allen Burch;TYTSIW;62C3QOMKG9
8;2E5BVH;Dianna Curry;AZ85YMLFC;6XNUSWIFDT
9;JVB8OH;Cameron Serrano;C09RTIUM;JBYUCY3JK2
10;YV06JD;Jamison Murphy;GEHAZE5IBY4I97;0X1QFO2PD0
11;IC8PW9;Greg Pope;3B2FSOGDWEK92;FFA2FD8MJW
12;PARB8H;Annette Downs;ZGZ5BFATP8QS4A;5J15WCNHWP
13;OR8JBK;NULL;873TZOIFEUI;0WQT2HTCOG
14;59A9ES;Chris Bauer;0KVE52CBI4CXRZ9;HVJJ9JPBXJ
15;0IWIEF;Jean Grimes;TPZK5WN7HG;ORIOASQ2V3
16;2WMZ88;Tera Norris;HH0KBTF98UULPRY;1EDCMBRS68
17;LKXGZQ;Sidney Daniels;3U61ZE;615LC24RLR
18;3SN8T6;Ronald Hampton;MPUYU4;R8YBD71MMK
19;2XFIGK;Dewayne Vasquez;OXPZUU;4U46XWEJ5D
20;RUTT2W;Jeffrey Valenzuela;K14CP0RZ39S;SLGJOGOX4H
21;VMK2BO;Nakia Chavez;YJCAE32JEVGUK5;6N5EBXKRJM
22;PDTE2F;Kerry Romero;5WWQX4GJS2PA;9XBH657D2M
23;P89K86;Maria Dunlap;6MLL6N5DBNBW;QFDUUILYOG
24;Z6HSN4;NULL;A3PL9RKP;JNG0JLGZET
25;P3NXUO;Kris Curry;37JU2I0K8O;HBJ769JQQF
26;635HIT;Faith Wood;PDR9UOW;OWP0G316LY
27;JM3D4S;Autumn Walsh;XT8KU5TCU7TXQOK;VDN05MLX27
28;NULL;Dustin Krueger;E2BLNDRFM2;CX1BMBBEXP
29;LJ8TPM;Amber Cabrera;XCFQKUKSRUMOP85;KZKBI5CX87
30;F2AOJP;Gabriel Howe;CEQ30S7VSDBCJ2;NF6J64X5TC
31;96G8RN;Julie Arellano;YR3WZEG;ZJRY5GPU60
32;543PCM;Myron Ford;25VTORDLCH8E0;XSOGU3FK5Z
33;JDEIBR;Jodie Cain;Z154KY7;XAM4256HSV
34;KE442C;Shawna Lara;78P1OXMC5Q;TZ0JJZV8D0
35;0VTY4E;Alice Mckinney;6OX4YJ;HIEVPATP87
36;GN5D5I;Lashonda Blevins;FRYUBNT2S1QUUI;IMHC0EJOP8
37;F53D0G;Ben Scott;JYN3N2GZ0CHIT72;BYOGAKFPXM
38;PV57XV;Roxanne Welch;6LGJFK;JT3Q6GWO2M
39;RC3PBS;Naomi Shannon;X27M5KLAVE44;2HE26ZHOPB
40;89R875;NULL;HVV0YR;77F79Z99JA
41;P9569N;Angela Mccall;IT4ZUQ;13N9973S06
42;80R1VU;Leonard Ball;K9EZMYLP1GGBFE;XW728DG78W
43;0OQ6IK;Amanda Owen;L4P32EBQFKNLU3X;DLWAZ6WFT2
44;B1OTQB;Quentin Rice;RFF11HFI5DRUF;WFAEXPAKXA
45;WC4SBS;Arthur Boyer;NCKH70ARNQ;J9J07RVSC2
46;LZ1O8L;Allyson Rosales;IZEYDRM38OVZC;VP2DZ7XVLD
47;CCNFYU;Herbert Wolf;4O6XPM;UZRRTFRXOZ
48;K02PLF;Trenton Fitzgerald;BVWA0CVWX0S;E1MRZY4J0Q
49;7HDJBX;Jana Key;TII0JSM5;OKLCKQ2M1O
50;NM9K2A;Jayson Cline;6VRD8H3B;ZEK8GXF1FD
51;PPH9Y5;Marci Aguilar;TX3R74IODEQ6AN3;0B0Q78YQ1C
52;P0DRHY;Benny Murphy;IGMON53HQ4Z4W;TB75HV0U1Y
53;C22QDM;Donald Peterson;USKU6UM1;S276QI73YB
54;IN5XN7;Efrain Skinner;DHVF7FJV7O3P;FJACTIUOAM
55;PDVVJT;Latonya Tapia;GMGOUM034ERLJXL;4K91AGK1KB
56;AKGM9E;Chester Werner;G9NH587RQV1;TJXI1HFJXE
57;GZRTYZ;Gilberto Herrera;8RGT1TBXDIZ007;6VNV51I0DN
58;K6TPN0;Michele Norris;34TNHXFQEG8V8;IXMXP8QJXQ
59;1CCAYA;Eileen Barnett;OYZKTUCYXJQ;5QREBHC8QO
60;NIWY4H;Andre Lara;N2Y9MGXZ4;LEEEEBIIJY
61;IM337V;Yvette Sullivan;W7K9T11CT;90ZW3S7TEG
62;OE4O7D;Stephanie Reyes;3IPJ0F;VPW4QQ0N4X
63;616VTN;Trenton Cummings;DW569XV9CS5TRX;NC8JBTF1E7
64;74BB4I;NULL;B12R0K1BWLQSJ;JGQFFDK1XA
65;HUVUI9;Gerald Riddle;DE87AK2YGMAOZG;TIOH9KSHWU
66;KQLG45;Becky Benson;WI20U6NH8FMBL;ECNNKGDDC2
67;Y7LQXU;Sammy Morton;LJ5B4YDWMHD6C;I6GDABN33Z
68;GP2BTS;Tabatha Boyd;FHBKL102OS;9IPUUKU9WB
69;IRR3C7;Leo West;YQW0RN9HQ;U2ESRS3NKX
70;J8UO33;Herbert Moyer;25DVHWZ;80I1WAGUSQ
71;BKFOIW;Marlene Mc Cormick;KMOU11R;U24XPMTI35
72;WPK6OD;Jamie Gibbs;2QJ7IVCN58GWUT;0BDZIJUZFF
73;5TJPHQ;Jack Waller;OMQDCYO3516350;X9PCSOKS2I
74;YUDSX5;Keisha Andrews;OV8OLIXIC7SPQ9;58BNT3GU2T
75;ZR2TQT;Joanne Olson;31RIZ8BOE5D;Z06NWRXZTB
